GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
travel-planner-backend,com.travelplanner.controller,AuthController,99,3,2,0,25,1,4,1,3,1
travel-planner-backend,com.travelplanner.controller,PersonasController,0,254,4,28,0,68,4,18,0,6
travel-planner-backend,com.travelplanner.controller,TripController,0,72,0,0,0,20,0,8,0,8
travel-planner-backend,com.travelplanner.controller,HealthController,0,30,0,0,0,7,0,2,0,2
travel-planner-backend,com.travelplanner.controller,ProfilesController,0,44,0,2,0,11,0,4,0,3
travel-planner-backend,com.travelplanner,TravelPlannerApplication,5,3,0,0,2,1,1,1,1,1
travel-planner-backend,com.travelplanner.config,DataInitializer,0,101,1,3,0,8,1,4,0,3
travel-planner-backend,com.travelplanner.config,WebSecurityConfig,0,194,0,0,0,29,0,12,0,12
travel-planner-backend,com.travelplanner.dto,JwtResponse,0,63,0,0,0,26,0,13,0,13
travel-planner-backend,com.travelplanner.dto,LoginRequest,0,17,0,0,0,7,0,5,0,5
travel-planner-backend,com.travelplanner.dto,SignupRequest,31,0,0,0,13,0,9,0,9,0
travel-planner-backend,com.travelplanner.dto,UserPersonaRequest,0,45,0,0,0,19,0,13,0,13
travel-planner-backend,com.travelplanner.dto,UserPersonaResponse,47,95,3,3,22,24,14,12,11,12
travel-planner-backend,com.travelplanner.security,JwtUtils,30,99,0,0,7,28,2,9,2,9
travel-planner-backend,com.travelplanner.security,AuthTokenFilter,69,3,8,0,17,1,6,1,2,1
travel-planner-backend,com.travelplanner.service,UserDetailsServiceImpl,17,3,0,0,3,1,2,1,2,1
travel-planner-backend,com.travelplanner.service,TripService,0,89,0,0,0,18,0,10,0,10
